week_day,title,k_calories
Segunda,Bife de frango acebolado,257
Segunda,Tilápia ao molho de tomate,277
Segunda,Mandioquinha com manjericão,101
Segunda,Refogado de espinafre com repolho e cenoura,32
Segunda,Alface,5
Segunda,Pepino salada com casca,4
Segunda,Salada multicor,8
Segunda,Rúcula com semente de girassol,40
Segunda,Brócolis conserva,20
Segunda,Barra de cereal *glúten*lactose,110
Terca,Picadinho suíno,748
Terca,Bife ao molho escuro,330
Terca,Polenta cremosa,136
Terca,Abóbora soutê,42
Terca,Salada italiana,9
Terca,Salada de repolho,6
Terca,Vinagrete simples,8
Terca,Agrião,8
Terca,Beterraba cubada,50
Terca,Gelatina,57
Quarta,Bife à cigana,266
Quarta,Filezinho de frango ao molho rosê *glúten*lactose,218
Quarta,Omelete com tomate,78
Quarta,Torta de aipim *lactose,171
Quarta,Vagem soutê,82
Quarta,Almeirão,6
Quarta,Cenoura ralada,50
Quarta,Salada verão,6
Quarta,Salada de tomate,33
Quarta,Chucrute conserva,26
Quarta,Creme de tapioca *glúten*lactose,61
Quinta,Dobradinha,297
Quinta,Frango assado,267
Quinta,Ovo,141
Quinta,Batata palha,320
Quinta,Legumes refogados com alecrim,76
Quinta,Alface,5
Quinta,Pimentão colorido,27
Quinta,Salada marroquina,13
Quinta,Beterraba ralada,11
Quinta,Salada de cenoura cozida,38
Quinta,Pudim brigadeiro *lactose,172
Sexta,Frango na cerveja *glúten,303
Sexta,Lombo suíno com molho barbecue,374
Sexta,Macarrão integral à mineira *glúten,241
Sexta,Chuchu refogado,18
Sexta,Alface,5
Sexta,Nabo ralado,22
Sexta,Salada japonesa,33
Sexta,Acelga,9
Sexta,Vagem conserva,147
Sexta,Manjar de coco com calda de mirtilos *lactose,119
