week_day,title,k_calories
Segunda,Cozido campeiro,261
Segunda,Filé de frango com azeitona *lactose,294
Segunda,Omelete com tomate,78
Segunda,Macarrão aromático *glúten,484
Segunda,Chuchu com milho,23
Segunda,Salada italiana,9
Segunda,Salada de tomate,33
Segunda,Salada de cenoura com ervilha,53
Segunda,Radite,11
Segunda,Beterraba cubada,50
Segunda,Maria mole *lactose,80
Terca,Galinhada,339
Terca,Bife ao molho escuro,330
Terca,Batata doce rústica,132
Terca,Berinjela refogada,41
Terca,Alface,5
Terca,Pepino salada com casca,4
Terca,Vinagrete misto,12
Terca,Rabanete,5
Terca,Brócolis conserva,20
Terca,Creme de abacaxi com coco *glúten*lactose,94
Quinta,Bife bovino acebolado com shoyo *NOVO,258
Quinta,Frango assado,267
Quinta,Aipim à mineira,173
Quinta,Vagem acebolada com gergelim,82
Quinta,Escarola frissé,5
Quinta,Beterraba ralada,11
Quinta,Salada colorida,9
Quinta,Rúcula,12
Quinta,Picles conserva,20
Quinta,Iogurte *glúten*lactose,161
Sexta,Frango ao molho barbecue,345
Sexta,Bisteca grelhada,450
Sexta,Farofa colorida,282
Sexta,Couve refogada,33
Sexta,Chicória,6
Sexta,Repolho roxo ralado,2
Sexta,Salada exótica,17
Sexta,Acelga,9
Sexta,Milho e ervilha conserva,89
Sexta,Manjar e pêssego com calda de pêssego *lactose,141
