week_day,title,k_calories,category
0,Costela [EQUADOR],917,Carne
0,Filezinho de frango grelhado *lactose,272,Carne
0,Salada mexicana II  *glúten*lactose [MÉXICO],34,Acompanhamento
0,Escarola frissé,5,Acompanhamento
0,Ovo,141,Acompanhamento
0,Batata gratinada com molho branco *glúten*lactose [DINAMARCA],128,Acompanhamento
0,Salada italiana,9,Acompanhamento
0,Alface,5,Acompanhamento
0,Pavê de chocolate *glúten*lactose [FRANÇA],143,Sobremesa
1,Ensopado de carne com legumes (Saloona) *NOVO [CATAR],318,Carne
1,Cubos suíno com mostarda *NOVO [ALEMANHA],315,Carne
1,Alface,5,Acompanhamento
1,Salada de pepino,5,Acompanhamento
1,Couve-flor ao vapor,28,Acompanhamento
1,Agrião,8,Acompanhamento
1,Beterraba cubada,50,Acompanhamento
1,Pepino conserva,17,Acompanhamento
1,Guisado de abobrinha com arroz *NOVO [CATAR],32,Acompanhamento
1,Repolho refogado com bacon [ALEMANHA],50,Acompanhamento
1,Pão de mel *glúten*lactose,86,Sobremesa
2,Bife grelhado com chimichurry [ARGENTINA],168,Carne
2,Tilápia assada com alcaparras *lactose,336,Carne
2,Salada italiana,9,Acompanhamento
2,Brócolis conserva,20,Acompanhamento
2,Pimentão colorido,27,Acompanhamento
2,Beterraba ralada,11,Acompanhamento
2,Acelga,9,Acompanhamento
2,Agrião,8,Acompanhamento
2,Pudim de doce de leite *lactose*NOVO [URUGUAI],98,Sobremesa
3,Filezinho de frango grelhado *lactose,272,Carne
3,Arroz carreteiro [BRASIL],571,Carne
3,Cenoura e alho poró com cúrcuma [PAÍS DE GALES],40,Acompanhamento
3,Polenta cremosa,136,Acompanhamento
3,Beterraba cubada,50,Acompanhamento
3,Beterraba ralada,11,Acompanhamento
3,Ovo,141,Acompanhamento
3,Acelga,9,Acompanhamento
3,Escarola frissé,5,Acompanhamento
3,Picolé *lactose,95,Sobremesa
4,Arroz carreteiro [BRASIL],571,Carne
4,Costela [EQUADOR],917,Carne
4,Ratatouille [FRANÇA],46,Acompanhamento
4,Salada brasileirinha [BRASIL],8,Acompanhamento
4,Milho e ervilha conserva [BRASIL],89,Acompanhamento
4,Repolho refogado com bacon [ALEMANHA],50,Acompanhamento
4,Salada italiana,9,Acompanhamento
4,Salada surpresa,4,Acompanhamento
4,Pão de mel *glúten*lactose,86,Sobremesa
5,Arroz carreteiro [BRASIL],571,Carne
5,Costela [EQUADOR],917,Carne
5,Ovo,141,Acompanhamento
5,Ratatouille [FRANÇA],46,Acompanhamento
5,Agrião,8,Acompanhamento
5,Rúcula,12,Acompanhamento
5,Brócolis conserva,20,Acompanhamento
5,Pimentão colorido,27,Acompanhamento
5,Salada de pepino,5,Acompanhamento
5,Sagu de maça,72,Sobremesa
6,Filezinho de frango grelhado *lactose,272,Carne
6,Ensopado de carne com legumes (Saloona) *NOVO [CATAR],318,Carne
6,Batata chips,432,Acompanhamento
6,Salada surpresa,4,Acompanhamento
6,Polenta cremosa,136,Acompanhamento
6,Acelga,9,Acompanhamento
6,Guisado de abobrinha com arroz *NOVO [CATAR],32,Acompanhamento
6,Farofa de luxo *glúten*lactose,238,Acompanhamento
6,Brócolis conserva,20,Acompanhamento
6,Almeirão com milho verde *NOVO,12,Acompanhamento
6,Pudim de doce de leite *lactose*NOVO [URUGUAI],98,Sobremesa
7,Bife grelhado com chimichurry [ARGENTINA],168,Carne
7,Bife de frango à portuguesa *NOVO [PORTUGAL],213,Carne
7,Milho e ervilha conserva [BRASIL],89,Acompanhamento
7,Ratatouille [FRANÇA],46,Acompanhamento
7,Salada mexicana II  *glúten*lactose [MÉXICO],34,Acompanhamento
7,Ovo,141,Acompanhamento
7,Farofa de luxo *glúten*lactose,238,Acompanhamento
7,Repolho refogado com bacon [ALEMANHA],50,Acompanhamento
7,Salada brasileirinha [BRASIL],8,Acompanhamento
7,Cenoura e alho poró com cúrcuma [PAÍS DE GALES],40,Acompanhamento
7,Pão de mel *glúten*lactose,86,Sobremesa
8,Tilápia assada com alcaparras *lactose,336,Carne
8,Ensopado de carne com legumes (Saloona) *NOVO [CATAR],318,Carne
8,Salada espanhola III [ESPANHA],33,Acompanhamento
8,Cenoura e alho poró com cúrcuma [PAÍS DE GALES],40,Acompanhamento
8,Almeirão com milho verde *NOVO,12,Acompanhamento
8,Batata gratinada com molho branco *glúten*lactose [DINAMARCA],128,Acompanhamento
8,Pimentão colorido,27,Acompanhamento
8,Polenta cremosa,136,Acompanhamento
8,Picolé *lactose,95,Sobremesa
9,Tilápia assada com alcaparras *lactose,336,Carne
9,Frango assado à moda Catar *NOVO [CATAR],386,Carne
9,Nabo ralado,22,Acompanhamento
9,Repolho roxo ralado,2,Acompanhamento
9,Alface,5,Acompanhamento
9,Salada surpresa,4,Acompanhamento
9,Macarrão ao sugo  *glúten [CROÁCIA],202,Acompanhamento
9,Salada italiana,9,Acompanhamento
9,Brócolis conserva,20,Acompanhamento
