week_day,title,k_calories,category
0,Arroz carreteiro [BRASIL],571,Carne
0,Filezinho de frango grelhado *lactose,272,Carne
0,Agrião,8,Acompanhamento
0,Escarola frissé,5,Acompanhamento
0,Nabo ralado,22,Acompanhamento
0,Ratatouille [FRANÇA],46,Acompanhamento
0,Beterraba ralada,11,Acompanhamento
0,Salada de pepino,5,Acompanhamento
0,Sagu de maça,72,Sobremesa
1,Ensopado de carne com legumes (Saloona) *NOVO [CATAR],318,Carne
1,Cubos de frango empanado (Popcorn Chicken) *glúten [EUA],286,Carne
1,Acelga,9,Acompanhamento
1,Pepino conserva,17,Acompanhamento
1,Salada espanhola III [ESPANHA],33,Acompanhamento
1,Agrião,8,Acompanhamento
1,Nabo ralado,22,Acompanhamento
1,Ovo,141,Acompanhamento
1,Guisado de abobrinha com arroz *NOVO [CATAR],32,Acompanhamento
1,Pepino salada com casca,4,Acompanhamento
1,Pavê de chocolate *glúten*lactose [FRANÇA],143,Sobremesa
