week_day,title,k_calories
Segunda,Ensopado de carne com legumes (Saloona) *NOVO [CATAR],318
Segunda,Frango assado à moda Catar *NOVO [CATAR],386
Segunda,Polenta cremosa,136
Segunda,Guisado de abobrinha com arroz *NOVO [CATAR],32
Segunda,Salada italiana,9
Segunda,Salada de tomate,33
Segunda,Almeirão com milho verde *NOVO,12
Segunda,Pimentão colorido,27
Segunda,Pepino conserva,17
Segunda,Pão de mel *glúten*lactose,86
Terca,Bife grelhado com chimichurry [ARGENTINA],168
Terca,Tilápia assada com alcaparras *lactose,336
Terca,Ovo,141
Terca,Batata gratinada com molho branco *glúten*lactose [DINAMARCA],128
Terca,Ratatouille [FRANÇA],46
Terca,Agrião,8
Terca,Pepino salada com casca,4
Terca,Salada mexicana II  *glúten*lactose [MÉXICO],34
Terca,Repolho roxo ralado,2
Terca,Brócolis conserva,20
Terca,Pavê de chocolate *glúten*lactose [FRANÇA],143
Quarta,Cubos suíno com mostarda *NOVO [ALEMANHA],315
Quarta,Filezinho de frango grelhado *lactose,272
Quarta,Macarrão ao sugo  *glúten [CROÁCIA],202
Quarta,Repolho refogado com bacon [ALEMANHA],50
Quarta,Escarola frissé,5
Quarta,Beterraba ralada,11
Quarta,Salada espanhola III [ESPANHA],33
Quarta,Rúcula,12
Quarta,Salada de chuchu cozido,19
Quarta,Sagu de maça,72
Quinta,Arroz carreteiro [BRASIL],571
Quinta,Bife de frango à portuguesa *NOVO [PORTUGAL],213
Quinta,Ovo,141
Quinta,Batata chips,432
Quinta,Couve-flor ao vapor,28
Quinta,Agrião,8
Quinta,Salada de pepino,5
Quinta,Repolho roxo com abacaxi,9
Quinta,Salada brasileirinha [BRASIL],8
Quinta,Milho e ervilha conserva [BRASIL],89
Quinta,Pudim de doce de leite *lactose*NOVO [URUGUAI],98
Sexta,Costela [EQUADOR],917
Sexta,Cubos de frango empanado (Popcorn Chicken) *glúten [EUA],286
Sexta,Farofa de luxo *glúten*lactose,238
Sexta,Cenoura e alho poró com cúrcuma [PAÍS DE GALES],40
Sexta,Alface,5
Sexta,Nabo ralado,22
Sexta,Salada surpresa,4
Sexta,Acelga,9
Sexta,Beterraba cubada,50
Sexta,Picolé *lactose,95
