week_day,title,k_calories
Segunda,Frango ao curry,271
Segunda,Escalope bovino ao molho sugo,274
Segunda,Omelete com brócolis,183
Segunda,Macarrão sem glúten integral com abobrinha *NOVO,213
Segunda,Cenoura soutê,39
Segunda,Alface,5
Segunda,Salada de tomate,33
Segunda,Salada tricolor,8
Segunda,Almeirão,6
Segunda,Beterraba cubada,50
Segunda,Iogurte de maracujá light *lactose,87
Terca,Frango com leite de coco *NOVO,358
Terca,Bife de pernil grelhado,443
Terca,Nhoque de espinafre soutê *glúten*NOVO,279
Terca,Abobora rústica com ervas,31
Terca,Salada italiana,9
Terca,Rabanete com linhaça,38
Terca,Salada dos sabores,5
Terca,Cenoura ralada,50
Terca,Salada de abobrinha cozida,9
Terca,Barrinha de Nuts *lactose*NOVO,129
Quarta,Peixe à marguerite especial *NOVO,319
Quarta,Guisado de carne com legumes,356
Quarta,Ovo,141
Quarta,Batata lionesa,70
Quarta,Couve-flor com curry,39
Quarta,Alface,5
Quarta,Salada de tomate,33
Quarta,Radite com manga *NOVO,9
Quarta,Beterraba ralada,11
Quarta,Salada de cenoura cozida,38
Quarta,Canjica com bebida vegetal *NOVO,129
Quinta,Bobó de frango *NOVO,542
Quinta,Bife bovino grelhado,314
Quinta,Batata doce corada,135
Quinta,Quinoa com vagem e brócolis,56
Quinta,Agrião,8
Quinta,Cenoura ralada,50
Quinta,Acelga,9
Quinta,Salada colorida,9
Quinta,Salada de chuchu cozido,19
Quinta,Banana passa *glúten*lactose,82
Sexta,Suprema assada sem pele *NOVO,318
Sexta,Carne bovina ao molho madeira,446
Sexta,Farofa com aveia *glúten,318
Sexta,Ervilha torta com amêndoas *NOVO,69
Sexta,Alface,5
Sexta,Salada de tomate,33
Sexta,Salada marroquina,13
Sexta,Pimentão colorido,27
Sexta,Salada de brócolis cozido,13
Sexta,Sagu de hibisco,74
