week_day,title,k_calories
Segunda,Escalope bovino ao molho de ervilhas,335
Segunda,Frango assado,267
Segunda,Polenta com queijo *lactose,350
Segunda,Cenoura com ervas,53
Segunda,Almeirão,6
Segunda,Nabo ralado,22
Segunda,Salada exótica,17
Segunda,Beterraba ralada,11
Segunda,Pepino conserva,17
Segunda,Creme de maracujá *glúten*lactose,107
Terca,Bife de pernil com mostarda,261
Terca,Filezinho de frango grelhado *lactose,272
Terca,Ovo,141
Terca,Creme de milho *lactose,79
Terca,Espaguete de abobrinha ao molho pesto de rúcula,74
Terca,Alface,5
Terca,Salada de pepino,5
Terca,Vinagrete misto,12
Terca,Cenoura ralada,50
Terca,Chucrute caseiro,10
Terca,Pudim mesclado *lactose,100
Quarta,Dobradinha,297
Quarta,Frango assado,267
Quarta,Omelete com tomate,78
Quarta,Batata chips,432
Quarta,Vagem refogada,29
Quarta,Alface,5
Quarta,Rabanete,5
Quarta,Repolho temperado,6
Quarta,Salada de tomate,33
Quarta,Salada de chuchu cozido,19
Quarta,Sagu de vinho,84
Quinta,Frango com quiabo,473
Quinta,Bife de pernil à mandarim,245
Quinta,Espaguete ao sugo *glúten,202
Quinta,Berinjela alho e óleo,101
Quinta,Radite,11
Quinta,Cebola com orégano,57
Quinta,Pepino picante,37
Quinta,Salada de tomate,33
Quinta,Beterraba conserva,40
Quinta,Gelatina tahiti,100
Sexta,Sobrepaleta suína assada,396
Sexta,Filezinho de frango empanado *glúten,272
Sexta,Farofa de couve,267
Sexta,Legumes refogados,26
Sexta,Alface,5
Sexta,Repolho roxo ralado,2
Sexta,Salada campestre II,27
Sexta,Cenoura ralada,50
Sexta,Grão de bico conserva,73
Sexta,Picolé *lactose,95
